text,done,user_id
sem magna nec quam.,false,2
metus sit amet ante.,false,3
"lectus ante dictum mi,",false,3
"tempor, est ac mattis",false,2
"egestas lacinia. Sed congue,",false,1
"non, feugiat nec, diam.",true,1
"ante, iaculis nec, eleifend",true,1
"vitae, aliquet nec, imperdiet",false,3
Sed dictum. Proin eget,true,1
"faucibus leo, in lobortis",true,2
luctus et ultrices posuere,true,2
eros non enim commodo,true,1
pede. Suspendisse dui. Fusce,false,3
Aliquam ultrices iaculis odio.,true,2
gravida. Praesent eu nulla,true,2
"rutrum, justo. Praesent luctus.",false,2
"elit, pellentesque a, facilisis",true,2
"vitae, orci. Phasellus dapibus",true,3
Pellentesque ut ipsum ac,false,2
sed tortor. Integer aliquam,false,3
"facilisis eget, ipsum. Donec",true,2
nec ligula consectetuer rhoncus.,false,1
Integer mollis. Integer tincidunt,true,2
nec ante. Maecenas mi,false,2
Nulla aliquet. Proin velit.,true,1
sit amet ultricies sem,true,1
"vitae, sodales at, velit.",true,1
"laoreet, libero et tristique",true,2
"nec, euismod in, dolor.",false,3
risus. Nulla eget metus,false,1
"ante, iaculis nec, eleifend",false,2
aliquet molestie tellus. Aenean,true,2
"Nullam velit dui, semper",false,3
Aenean sed pede nec,false,2
dolor. Fusce feugiat. Lorem,true,2
"ultrices a, auctor non,",false,3
"Donec felis orci, adipiscing",true,2
leo. Cras vehicula aliquet,false,3
natoque penatibus et magnis,true,2
augue scelerisque mollis. Phasellus,true,2
"placerat, augue. Sed molestie.",false,2
Morbi sit amet massa.,false,3
Etiam bibendum fermentum metus.,false,2
molestie dapibus ligula. Aliquam,true,2
vulputate mauris sagittis placerat.,false,2
aliquam eros turpis non,false,3
non quam. Pellentesque habitant,false,3
felis ullamcorper viverra. Maecenas,true,3
velit. Sed malesuada augue,true,2
"nulla ante, iaculis nec,",true,2
"et tristique pellentesque, tellus",true,1
purus ac tellus. Suspendisse,true,2
ac ipsum. Phasellus vitae,false,1
"dis parturient montes, nascetur",true,2
id ante dictum cursus.,false,2
Aliquam fringilla cursus purus.,false,3
"mollis dui, in sodales",true,2
vitae sodales nisi magna,false,1
"tempus, lorem fringilla ornare",false,2
"vel, venenatis vel, faucibus",true,1
quam a felis ullamcorper,true,3
nec luctus felis purus,false,1
"nostra, per inceptos hymenaeos.",true,2
"parturient montes, nascetur ridiculus",false,2
"magna. Nam ligula elit,",true,3
"mi tempor lorem, eget",false,2
Pellentesque tincidunt tempus risus.,false,1
Praesent interdum ligula eu,true,2
Suspendisse dui. Fusce diam,false,2
"ipsum. Curabitur consequat, lectus",false,3
"montes, nascetur ridiculus mus.",false,2
et nunc. Quisque ornare,true,3
ut ipsum ac mi,true,3
imperdiet dictum magna. Ut,true,1
"nonummy ut, molestie in,",false,2
quam dignissim pharetra. Nam,false,1
sed leo. Cras vehicula,true,1
"orci, in consequat enim",false,1
metus. Aenean sed pede,false,3
sed pede nec ante,true,2
Vivamus rhoncus. Donec est.,true,3
"posuere vulputate, lacus. Cras",false,1
lectus quis massa. Mauris,false,2
justo sit amet nulla.,false,1
"non, luctus sit amet,",false,1
sagittis placerat. Cras dictum,true,1
fringilla purus mauris a,true,2
consectetuer adipiscing elit. Aliquam,true,2
erat vel pede blandit,false,3
"et, euismod et, commodo",true,2
mauris sagittis placerat. Cras,false,3
"ipsum dolor sit amet,",true,3
Fusce mollis. Duis sit,false,2
"id, erat. Etiam vestibulum",false,2
mollis. Integer tincidunt aliquam,false,2
mattis. Integer eu lacus.,false,2
non justo. Proin non,false,2
"molestie in, tempus eu,",false,3
ut dolor dapibus gravida.,true,3
"nisi sem semper erat,",true,2
"aliquam eu, accumsan sed,",false,1
"lorem ut aliquam iaculis,",false,2
leo. Cras vehicula aliquet,false,2
imperdiet dictum magna. Ut,true,3
rutrum magna. Cras convallis,true,3
"aliquet lobortis, nisi nibh",false,2
luctus. Curabitur egestas nunc,true,1
lorem tristique aliquet. Phasellus,false,1
"in aliquet lobortis, nisi",true,1
sem eget massa. Suspendisse,false,3
nascetur ridiculus mus. Aenean,true,1
"Donec felis orci, adipiscing",false,1
fermentum metus. Aenean sed,true,1
Aliquam rutrum lorem ac,true,3
non enim. Mauris quis,false,3
ante ipsum primis in,true,1
sociis natoque penatibus et,false,1
"aliquet lobortis, nisi nibh",false,1
"congue a, aliquet vel,",true,2
Donec nibh. Quisque nonummy,false,2
"nec, mollis vitae, posuere",true,2
vel sapien imperdiet ornare.,true,1
at lacus. Quisque purus,false,1
"gravida non, sollicitudin a,",true,1
"pharetra ut, pharetra sed,",true,3
"est ac facilisis facilisis,",false,3
nunc sit amet metus.,true,2
"semper egestas, urna justo",false,3
in faucibus orci luctus,true,2
magna nec quam. Curabitur,true,2
"metus urna convallis erat,",false,1
"pretium aliquet, metus urna",true,2
tristique neque venenatis lacus.,true,2
"Sed pharetra, felis eget",false,3
consectetuer mauris id sapien.,true,2
sapien. Nunc pulvinar arcu,false,3
"lorem, sit amet ultricies",false,3
Nullam vitae diam. Proin,true,2
"pretium aliquet, metus urna",false,2
urna. Nullam lobortis quam,true,1
et malesuada fames ac,false,1
magna. Duis dignissim tempor,true,1
nibh. Phasellus nulla. Integer,true,2
orci lobortis augue scelerisque,true,3
"mollis dui, in sodales",false,3
"feugiat nec, diam. Duis",false,1
"molestie in, tempus eu,",false,2
Proin vel arcu eu,true,2
"eu, ultrices sit amet,",false,1
"egestas a, dui. Cras",false,2
consequat purus. Maecenas libero,true,2
Nullam ut nisi a,false,2
Mauris non dui nec,true,3
turpis. In condimentum. Donec,true,1
non leo. Vivamus nibh,false,3
"arcu iaculis enim, sit",true,2
non enim commodo hendrerit.,true,1
felis purus ac tellus.,false,3
"Aliquam ornare, libero at",true,3
"Duis cursus, diam at",true,3
interdum libero dui nec,true,2
"sit amet, consectetuer adipiscing",true,2
"eget, volutpat ornare, facilisis",true,2
placerat velit. Quisque varius.,true,1
"eget varius ultrices, mauris",false,2
ipsum primis in faucibus,true,3
malesuada fames ac turpis,false,2
"magnis dis parturient montes,",true,2
Nullam feugiat placerat velit.,true,1
"lorem, eget mollis lectus",false,3
volutpat. Nulla dignissim. Maecenas,false,2
nisl. Nulla eu neque,false,3
consequat dolor vitae dolor.,true,3
"enim. Suspendisse aliquet, sem",false,1
eu dui. Cum sociis,true,3
"tortor, dictum eu, placerat",false,3
"elementum sem, vitae aliquam",true,2
et arcu imperdiet ullamcorper.,false,3
sagittis placerat. Cras dictum,true,3
"erat, eget tincidunt dui",false,3
"et, rutrum non, hendrerit",true,1
pede. Cum sociis natoque,false,2
Aenean euismod mauris eu,true,2
aliquet odio. Etiam ligula,true,1
ipsum. Suspendisse sagittis. Nullam,false,1
ultricies sem magna nec,false,2
eu dui. Cum sociis,false,3
"at auctor ullamcorper, nisl",true,3
placerat. Cras dictum ultricies,false,2
adipiscing lacus. Ut nec,true,2
fermentum arcu. Vestibulum ante,false,2
"placerat, orci lacus vestibulum",false,1
Pellentesque tincidunt tempus risus.,true,2
"facilisis vitae, orci. Phasellus",false,2
"montes, nascetur ridiculus mus.",false,2
aliquet. Phasellus fermentum convallis,false,2
"sed, est. Nunc laoreet",true,3
sem egestas blandit. Nam,false,2
"mauris, rhoncus id, mollis",false,2
"Quisque imperdiet, erat nonummy",false,2
